,id,age,gender,income,days_on_platform,city,purchases
0,0,,Male,126895,14,San Francisco,0
1,1,,Male,161474,14,Tokyo,0
2,2,24,Male,104723,34,London,1
3,3,29,Male,43791,28,London,2
4,4,18,Female,132181,26,London,2
5,5,23,Male,12315,14,New York City,0
6,6,,Male,51679,30,Tokyo,0
7,7,,Female,53341,43,San Francisco,1
8,8,46,Male,129157,23,New York City,0
9,9,49,Female,76842,19,Tokyo,2
10,10,,Male,159506,7,New York City,0
11,11,,Male,110343,30,San Francisco,1
12,12,12,Male,130521,12,London,1
13,13,,Male,105418,13,Miami,0
14,14,,Male,95060,7,Tokyo,1
15,15,31,Female,226249,20,Miami,0
16,16,19,Female,51434,18,New York City,0
17,17,27,Female,177582,2,London,0
18,18,10,Female,260,32,San Francisco,0
19,19,32,Female,15174,13,Tokyo,1
20,20,40,Male,18300,15,Tokyo,1
21,21,,Male,67623,40,New York City,0
22,22,,Female,39433,36,Miami,2
23,23,10,Female,108804,5,Tokyo,2
24,24,,Female,38777,2,San Francisco,2
25,25,46,Female,112992,9,London,3
26,26,26,Female,24300,34,Tokyo,0
27,27,,Male,12877,18,San Francisco,1
28,28,,Male,44684,15,Tokyo,4
29,29,43,Male,70598,15,London,2
30,30,,Male,1070,32,New York City,2
31,31,23,Male,25838,15,London,1
32,32,16,Male,92621,4,New York City,0
33,33,,Male,19572,39,New York City,2
34,34,31,Male,89058,8,New York City,1
35,35,26,Female,21646,30,London,0
36,36,46,Male,58738,52,San Francisco,1
37,37,,Male,111270,,San Francisco,0
38,38,27,Female,19003,25,San Francisco,2
39,39,,Male,4127,17,New York City,2
40,40,31,Male,138533,20,New York City,3
41,41,,Female,37303,30,New York City,1
42,42,,Male,51178,9,London,1
43,43,,Male,52145,79,London,0
44,44,36,Male,1062,28,Tokyo,2
45,45,,Male,142495,26,Miami,0
46,46,,Female,37129,29,London,0
47,47,34,Male,9866,33,London,5
48,48,36,Male,62665,35,San Francisco,0
49,49,40,Female,107003,44,Tokyo,1
50,50,36,Male,255965,22,Tokyo,1
51,51,42,Male,85704,23,New York City,4
52,52,,Female,59313,15,New York City,0
53,53,47,Female,95797,29,San Francisco,0
54,54,13,Male,229581,50,Miami,1
55,55,49,Female,114434,2,London,1
56,56,,Male,53427,59,Miami,3
57,57,19,Male,97559,,Tokyo,2
58,58,,Male,41515,2,Miami,1
59,59,,Female,47260,43,Miami,0
60,60,,Female,177953,71,Miami,0
61,61,,Male,72545,29,New York City,0
62,62,27,Female,76525,30,Tokyo,0
63,63,11,Male,115977,37,Tokyo,1
64,64,12,Male,55581,2,Miami,0
65,65,21,Female,10834,22,Miami,0
66,66,13,Male,181514,11,San Francisco,1
67,67,,Male,148041,12,London,4
68,68,,Female,54724,25,Tokyo,0
69,69,,Male,117191,12,Miami,2
70,70,13,Female,42665,6,London,0
71,71,,Female,76611,8,London,0
72,72,,Male,85827,27,San Francisco,0
73,73,11,Female,10174,43,London,0
74,74,49,Male,39736,31,Tokyo,4
75,75,20,Female,158067,26,Miami,0
76,76,,Female,59422,42,London,0
77,77,,Male,31343,56,New York City,0
78,78,13,Female,42850,4,San Francisco,0
79,79,37,Male,5041,17,Miami,2
80,80,34,Male,38877,23,Miami,1
81,81,,Male,32758,30,San Francisco,1
82,82,32,Male,128031,63,Tokyo,0
83,83,12,Female,117244,54,New York City,1
84,84,,Male,163307,12,New York City,1
85,85,,Female,39953,14,Miami,0
86,86,35,Female,47038,,London,1
87,87,,Female,29997,3,Tokyo,0
88,88,36,Female,101285,36,San Francisco,0
89,89,,Female,8802,15,Tokyo,2
90,90,,Female,162074,55,Miami,0
91,91,44,Female,66182,7,San Francisco,0
